UID          PID    PPID  C STIME TTY          TIME CMD
root         764       1  0 16:54 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
syslog       766       1  0 16:54 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         771       1  0 16:54 ?        00:00:01 /usr/lib/snapd/snapd
root         772       1  0 16:54 ?        00:00:00 /usr/libexec/switcheroo-control
root         773       1  0 16:54 ?        00:00:00 /lib/systemd/systemd-logind
root         774       1  0 16:54 ?        00:00:00 /usr/lib/udisks2/udisksd
root         775       1  0 16:54 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
avahi        780     752  0 16:54 ?        00:00:00 avahi-daemon: chroot helper
root         794       1  0 16:54 ?        00:00:00 /usr/sbin/cups-browsed
root         798       1  0 16:54 ?        00:00:00 /usr/sbin/ModemManager
root         811       1  0 16:54 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         876       1  0 16:54 ?        00:00:00 /usr/sbin/cron -f
whoopsie     880       1  0 16:54 ?        00:00:00 /usr/bin/whoopsie -f
daemon       881       1  0 16:54 ?        00:00:00 /usr/sbin/atd -f
root         889       1  0 16:54 ?        00:00:00 /sbin/agetty -o -p -- \u --keep-baud 115200,38400,9600 ttyAMA0 vt220
kernoops     892       1  0 16:54 ?        00:00:00 /usr/sbin/kerneloops --test
kernoops     898       1  0 16:54 ?        00:00:00 /usr/sbin/kerneloops
root         903       1  0 16:54 ?        00:00:00 /usr/sbin/gdm3
rtkit        946       1  0 16:54 ?        00:00:00 /usr/libexec/rtkit-daemon
root        1056       1  0 16:54 ?        00:00:00 /usr/lib/upower/upowerd
colord      1423       1  0 16:54 ?        00:00:00 /usr/libexec/colord
root        1445       1  0 16:54 ?        00:00:01 /usr/sbin/spice-vdagentd
root        1453     903  0 16:54 ?        00:00:00 gdm-session-worker [pam/gdm-password]
lawlessl    1473       1  0 16:54 ?        00:00:00 /lib/systemd/systemd --user
lawlessl    1474    1473  0 16:54 ?        00:00:00 (sd-pam)
lawlessl    1484    1473  0 16:54 ?        00:00:00 /usr/bin/pulseaudio --daemonize=no --log-target=journal
lawlessl    1486    1473  0 16:54 ?        00:00:00 /usr/libexec/tracker-miner-fs
lawlessl    1490    1473  0 16:54 ?        00:00:00 /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
lawlessl    1492       1  0 16:54 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
lawlessl    1510    1473  0 16:54 ?        00:00:00 /usr/libexec/gvfsd
